freq,stage1_db,stage1_deg,stage2_db,stage2_deg,stage3_db,stage3_deg
6.02559586074353e+03,-6.27208878045134e+01,1.63809680137425e+02,-1.25846809909977e+02,-1.71155459928229e+01,-1.83325986264650e+02,1.01896917858652e+02
6.16595001861477e+03,-6.30562567995592e+01,1.62486604307541e+02,-1.26581014219080e+02,-1.86834027112102e+01,-1.83998090378781e+02,9.85811137405547e+01
6.30957344480188e+03,-6.33830081802982e+01,1.61097055164664e+02,-1.27306403057953e+02,-2.03300505440863e+01,-1.84646581343114e+02,9.52555851706896e+01
6.45654229034650e+03,-6.37001875215077e+01,1.59640211831347e+02,-1.28021992177518e+02,-2.20572685740437e+01,-1.85271679556297e+02,9.19211070645452e+01
6.60693448007590e+03,-6.40067830807569e+01,1.58115839302113e+02,-1.28726735665802e+02,-2.38663123206865e+01,-1.85873526303924e+02,8.85779917212229e+01
6.76082975391976e+03,-6.43017346763226e+01,1.56524386116375e+02,-1.29419534204529e+02,-2.57578197662072e+01,-1.86452172798854e+02,8.52262788745682e+01
6.91830970918931e+03,-6.45839460025327e+01,1.54867079357008e+02,-1.30099246677090e+02,-2.77317201374428e+01,-1.87007576886888e+02,8.18659341174744e+01
7.07945784384132e+03,-6.48523006008080e+01,1.53146011529375e+02,-1.30764705335070e+02,-2.97871508558025e+01,-1.87539607407506e+02,7.84970434706641e+01
7.24435960074984e+03,-6.51056814991978e+01,1.51364212948259e+02,-1.31414734523973e+02,-3.19223889829791e+01,-1.88048055805787e+02,7.51199922757770e+01
7.41310241300911e+03,-6.53429942618903e+01,1.49525702677354e+02,-1.32048172696279e+02,-3.41348040599306e+01,-1.88532654211508e+02,7.17356174044265e+01
7.58577575029177e+03,-6.55631928659781e+01,1.47635511022864e+02,-1.32663897114653e+02,-3.64208392635475e+01,-1.88993098834034e+02,6.83453230435250e+01
7.76247116628685e+03,-6.57653074721537e+01,1.45699667257205e+02,-1.33260850296465e+02,-3.87760271115411e+01,-1.89429077177282e+02,6.49511521341745e+01
7.94328234724275e+03,-6.59484728192139e+01,1.43725147756432e+02,-1.33838066913086e+02,-4.11950444149688e+01,-1.89840297281989e+02,6.15558079836169e+01
8.12830516164092e+03,-6.61119556992374e+01,1.41719782084102e+02,-1.34394699583807e+02,-4.36718088008339e+01,-1.90226516989006e+02,5.81626236406745e+01
8.31763771102664e+03,-6.62551798136278e+01,1.39692117608254e+02,-1.34930041847311e+02,-4.61996160401603e+01,-1.90587571129283e+02,5.47754802064008e+01
8.51138038202369e+03,-6.63777463143580e+01,1.37651246705086e+02,-1.35443546598173e+02,-4.87713139112655e+01,-1.90923394620301e+02,5.13986790812016e+01
8.70963589956073e+03,-6.64794485246161e+01,1.35606604061580e+02,-1.35934838467002e+02,-5.13795048244452e+01,-1.91234039705169e+02,4.80367768403694e+01
8.91250938133738e+03,-6.65602797049390e+01,1.33567744553746e+02,-1.36403718997047e+02,-5.40167664183847e+01,-1.91519686002953e+02,4.46943945292632e+01
